CASE#,DATE  OF OCCURRENCE,BLOCK,IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE421801,10/25/2021 12:10:00 PM,041XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,2534,37,14,1148610,1908341,41.9044256,-87.72955621,"(41.904425604, -87.729556209)"
JE421711,10/25/2021 11:20:00 AM,104XX S WENTWORTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,512,34,15,1176792,1835901,41.70505252,-87.62821951,"(41.705052523, -87.628219509)"
JE424268,10/25/2021 9:00:00 PM,064XX S RACINE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,724,17,7,1169425,1862183,41.77733636,-87.65443731,"(41.777336361, -87.654437309)"
JF253714,10/23/2021 2:38:00 PM,021XX W MOFFAT ST,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,Y,1434,32,6,,,,,
JE423693,10/25/2021 2:00:00 AM,033XX W 19TH ST,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,1024,24,04B,1154522,1890515,41.855393,-87.70831654,"(41.855393, -87.708316543)"
JE421389,10/25/2021 3:00:00 AM,033XX W LAWRENCE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,N,N,1713,33,14,1153007,1931688,41.96840553,-87.71278394,"(41.968405527, -87.712783941)"
JE422396,10/25/2021 7:40:00 PM,029XX S FEDERAL ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,133,3,08B,1176025,1885766,41.84190476,-87.62953384,"(41.841904764, -87.629533842)"
JE422184,10/25/2021 4:13:00 PM,001XX N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,111,42,6,1176352,1900927,41.88350019,-87.6278767,"(41.883500187, -87.627876698)"
JF132458,10/23/2021 1:30:00 PM,078XX S ESCANABA AVE,3960,INTIMIDATION,INTIMIDATION,STREET,N,N,421,7,08A,,,,,
JF133577,12/13/2021 12:00:00 AM,009XX E 79TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,624,8,7,,,,,
JE422122,10/25/2021 3:50:00 PM,038XX N BROADWAY,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,N,N,1925,46,26,1170230,1925816,41.9519328,-87.64962835,"(41.951932799, -87.649628345)"
JE421896,10/25/2021 12:30:00 PM,012XX S CANAL ST,560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,124,11,08A,1173312,1894709,41.86650561,-87.63922435,"(41.866505614, -87.639224346)"
JF170082,12/09/2021 5:00:00 AM,004XX E 87TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,632,9,08A,,,,,
JE421819,10/25/2021 12:30:00 PM,076XX S CHAMPLAIN AVE,820,THEFT,$500 AND UNDER,RESIDENCE,N,Y,624,6,6,1181886,1854568,41.756161,-87.60899079,"(41.756161003, -87.608990792)"
JE422207,10/25/2021 4:41:00 PM,062XX S COTTAGE GROVE AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,313,20,6,1182642,1863577,41.78086508,-87.60594102,"(41.78086508, -87.605941023)"
JE421322,10/25/2021 12:53:00 AM,087XX S HARPER AVE,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,412,8,04A,1187979,1847251,41.7359395,-87.58689416,"(41.735939503, -87.586894157)"
JE488656,12/25/2021 2:39:00 PM,030XX W 25TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1033,12,14,1156333,1887242,41.84637515,-87.70175766,"(41.846375152, -87.701757657)"
JE488347,12/25/2021 4:47:00 AM,041XX W 31ST ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1031,22,04A,1149304,1883718,41.83684379,-87.72764514,"(41.83684379, -87.72764514)"
JE488778,12/25/2021 6:30:00 PM,042XX W CERMAK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1012,24,14,1148207,1889032,41.85144726,-87.73153388,"(41.85144726, -87.731533881)"
JE421780,10/25/2021 11:35:00 AM,036XX N HALSTED ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1923,44,6,1170273,1924431,41.94813137,-87.6495109,"(41.948131367, -87.649510899)"
JE422113,10/25/2021 3:50:00 PM,020XX W ADAMS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1225,27,08B,1162984,1899088,41.87874487,-87.67701645,"(41.878744874, -87.677016454)"
JF133370,01/29/2022 7:50:00 PM,002XX N ABERDEEN ST,820,THEFT,$500 AND UNDER,APARTMENT,N,N,1214,27,6,,,,,
JE421609,10/25/2021 9:05:00 AM,036XX S MARSHFIELD AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,912,12,26,1165943,1880673,41.82814981,-87.66667657,"(41.828149807, -87.666676573)"
JE422902,10/25/2021 3:00:00 PM,031XX W 38TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,911,12,14,1155977,1878913,41.82352654,-87.70328837,"(41.823526544, -87.703288366)"
JE421715,10/25/2021 1:00:00 AM,013XX N LONG AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2532,37,08A,1140036,1908564,41.90519882,-87.76104581,"(41.905198823, -87.761045809)"
JE455296,11/24/2021 1:05:00 AM,002XX E GARFIELD BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,231,3,08B,1178650,1868596,41.79472944,-87.62042377,"(41.794729437, -87.620423773)"
JE399065,10/02/2021 11:30:00 PM,051XX S NEWCASTLE AVE,810,THEFT,OVER $500,STREET,N,N,811,23,6,,,,,
JE488595,12/25/2021 10:00:00 AM,008XX S INDEPENDENCE BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1133,24,08B,1151390,1895995,41.87049274,-87.71966875,"(41.870492742, -87.719668746)"
JE423204,10/25/2021 11:52:00 AM,041XX W NORTH AVE,810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,N,N,2534,26,6,1148245,1910306,41.9098248,-87.73084627,"(41.909824804, -87.730846269)"
JE422697,10/25/2021 10:30:00 PM,069XX S BISHOP ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,734,6,7,1167865,1858694,41.76779575,-87.66025636,"(41.767795753, -87.660256363)"
JE488335,12/25/2021 1:00:00 AM,0000X W TERMINAL ST,820,THEFT,$500 AND UNDER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,N,N,1653,41,6,1101811,1934419,41.97676298,-87.90098372,"(41.976762981, -87.900983721)"
JE488468,12/25/2021 8:30:00 AM,061XX N WASHTENAW AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE - GARAGE,N,N,2413,40,14,1157220,1940677,41.992987,-87.69704738,"(41.992986996, -87.69704738)"
JE489150,12/25/2021 11:30:00 PM,102XX S MAY ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2232,34,7,1170462,1836863,41.70783229,-87.65137129,"(41.70783229, -87.651371286)"
JE488266,12/25/2021 1:25:00 AM,036XX W 71ST ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,N,N,833,13,15,1153341,1857285,41.76422879,-87.71353103,"(41.764228789, -87.713531032)"
JE488685,12/25/2021 3:30:00 PM,046XX N PULASKI RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,POLICE FACILITY / VEHICLE PARKING LOT,N,N,1722,39,26,1148885,1930759,41.96593721,-87.72796457,"(41.96593721, -87.727964573)"
JE488568,12/25/2021 12:50:00 PM,012XX W ROOSEVELT RD,810,THEFT,OVER $500,CONVENIENCE STORE,N,N,1233,25,6,1168413,1894846,41.86698884,-87.65720501,"(41.866988841, -87.657205006)"
JE488308,12/25/2021 2:38:00 AM,073XX W IRVING PARK RD,610,BURGLARY,FORCIBLE ENTRY,TAVERN / LIQUOR STORE,N,N,1631,38,5,1126441,1925782,41.95268525,-87.81060001,"(41.952685246, -87.810600012)"
JE488637,12/25/2021 2:40:00 PM,050XX N ELSTON AVE,460,BATTERY,SIMPLE,GAS STATION,N,N,1623,45,08B,1143328,1933345,41.97313932,-87.74833189,"(41.973139321, -87.748331889)"
JE488398,12/25/2021 7:33:00 AM,080XX S KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,834,18,08B,1156442,1851180,41.74741382,-87.70232911,"(41.747413822, -87.702329111)"
JE421443,10/25/2021 7:26:00 AM,061XX W DIVERSEY AVE,560,ASSAULT,SIMPLE,STREET,N,N,2511,30,08A,1135170,1917971,41.93110044,-87.778697,"(41.93110044, -87.778696999)"
JE492581,10/07/2021 5:40:00 PM,015XX E 55TH ST,870,THEFT,POCKET-PICKING,SMALL RETAIL STORE,N,N,234,5,6,1187488,1868839,41.79519055,-87.58800765,"(41.795190552, -87.588007653)"
JE488265,12/25/2021 1:23:00 AM,062XX W GRAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2512,36,08B,1134245,1914564,41.92176761,-87.78217673,"(41.921767605, -87.782176731)"
JF112674,12/19/2021 3:00:00 PM,041XX W 57TH PL,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,813,13,5,,,,,
JE488832,12/25/2021 7:46:00 PM,003XX E 55TH PL,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,N,231,20,04A,1179351,1868294,41.79388474,-87.61786245,"(41.79388474, -87.617862454)"
JE488474,12/25/2021 3:00:00 AM,010XX N TRUMBULL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),N,N,1121,27,14,1153186,1906648,41.89969024,-87.71279218,"(41.899690241, -87.712792178)"
JE488783,12/25/2021 6:50:00 PM,037XX S WELLS ST,051A,ASSAULT,AGGRAVATED - HANDGUN,CHA PARKING LOT / GROUNDS,Y,Y,915,3,04A,1175254,1880196,41.82663753,-87.63252991,"(41.826637529, -87.632529906)"
JE489522,12/25/2021 12:20:00 AM,056XX S TROY ST,460,BATTERY,SIMPLE,STREET,N,N,824,14,08B,1156341,1867159,41.79126466,-87.7022696,"(41.791264662, -87.702269599)"
JE488540,12/25/2021 11:45:00 AM,014XX S SACRAMENTO DR,810,THEFT,OVER $500,PARK PROPERTY,N,N,1022,24,6,1156220,1893242,41.8628421,-87.70201046,"(41.862842099, -87.702010464)"
JE488751,12/25/2021 5:25:00 PM,012XX S WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,131,3,26,1176963,1894862,41.86684367,-87.62581667,"(41.866843668, -87.625816668)"
JE391535,09/28/2021 8:17:00 PM,075XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2422,49,6,,,,,
JE488289,12/25/2021 1:55:00 AM,051XX W WABANSIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2533,37,08B,1141841,1910819,41.91135356,-87.75435947,"(41.911353559, -87.754359467)"
JE424135,10/25/2021 2:50:00 PM,090XX S BURLEY AVE,560,ASSAULT,SIMPLE,CHA PARKING LOT / GROUNDS,N,N,424,10,08A,1199239,1845738,41.73151233,-87.54569322,"(41.731512325, -87.545693221)"
JE488281,12/25/2021 1:29:00 AM,022XX E 92ND PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,413,7,14,1192896,1844074,41.72710309,-87.56898373,"(41.727103086, -87.568983733)"
JE488660,12/25/2021 1:51:00 PM,014XX W 82ND ST,560,ASSAULT,SIMPLE,ALLEY,N,Y,614,21,08A,1168188,1850372,41.74495212,-87.65931141,"(41.744952121, -87.659311411)"
JE488261,12/25/2021 1:00:00 AM,070XX S JEFFERY BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,332,5,08B,1190762,1858684,41.76724597,-87.57632989,"(41.767245969, -87.57632989)"
JE488733,12/25/2021 5:26:00 PM,038XX W LELAND AVE,560,ASSAULT,SIMPLE,STREET,N,Y,1723,35,08A,1150126,1930961,41.96646736,-87.72339633,"(41.966467361, -87.723396334)"
JE422101,10/25/2021 3:45:00 PM,037XX W LAWRENCE AVE,560,ASSAULT,SIMPLE,SIDEWALK,N,Y,1712,35,08A,1150430,1931633,41.96830543,-87.72226095,"(41.96830543, -87.722260945)"
JE490562,12/25/2021 2:00:00 AM,073XX S WOLCOTT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,735,17,7,1164962,1855857,41.76007248,-87.67097727,"(41.760072481, -87.670977265)"
JE488942,12/25/2021 11:40:00 PM,022XX N KENNETH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,Y,Y,2522,36,08B,1146352,1914542,41.92148509,-87.73769236,"(41.921485089, -87.737692357)"
JE488449,12/25/2021 9:16:00 AM,002XX W 28TH PL,320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,914,11,3,1175224,1886020,41.84261973,-87.63246563,"(41.842619734, -87.632465631)"
JE488759,12/25/2021 5:59:00 PM,013XX S KOSTNER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1011,24,08B,1147261,1893481,41.86367402,-87.73489215,"(41.86367402, -87.734892152)"
JE488496,12/25/2021 10:45:00 AM,001XX W HURON ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,RESTAURANT,N,N,1832,42,11,1175159,1905043,41.89482155,-87.63213393,"(41.894821547, -87.632133928)"
JE488311,12/25/2021 2:57:00 AM,029XX W FILLMORE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1135,28,08B,1156999,1895236,41.86829809,-87.69909675,"(41.868298088, -87.69909675)"
JE488356,12/25/2021 4:40:00 AM,027XX W AUGUSTA BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1211,26,08B,1157732,1906533,41.89928323,-87.69609779,"(41.899283226, -87.696097786)"
JE492733,11/22/2021 2:00:00 AM,015XX N WELLS ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,N,N,1821,27,11,1174423,1910533,41.90990286,-87.63467281,"(41.90990286, -87.634672812)"
JE423141,10/25/2021 9:10:00 PM,075XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2422,49,6,,,,,
JE488303,12/25/2021 2:30:00 AM,047XX W HARRISON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,1131,24,7,1144812,1896930,41.873185,-87.74379543,"(41.873185004, -87.743795434)"
JE488315,12/25/2021 3:11:00 AM,009XX N LAWNDALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1112,27,08B,1151546,1905998,41.89793897,-87.71883304,"(41.897938971, -87.718833043)"
JE492759,12/04/2021 10:00:00 AM,061XX S ARCHER AVE,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,811,23,6,1137711,1868195,41.79446258,-87.77055822,"(41.794462581, -87.770558224)"
JE492208,12/25/2021 3:50:00 PM,072XX S MERRILL AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,333,5,26,1191806,1857492,41.76394975,-87.57254191,"(41.76394975, -87.572541906)"
JE492684,09/28/2021 12:00:00 AM,055XX W LELAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,1623,45,11,1138510,1930534,41.9655146,-87.76611743,"(41.965514603, -87.766117428)"
JE488801,12/25/2021 7:44:00 PM,060XX S PRAIRIE AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,N,Y,311,20,04B,1179075,1865009,41.78487669,-87.61897461,"(41.784876685, -87.618974609)"
JE489106,12/25/2021 9:44:00 PM,0000X E GARFIELD BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,225,3,7,1177792,1868568,41.79467209,-87.62357087,"(41.794672085, -87.623570871)"
JE488294,12/25/2021 1:37:00 AM,012XX W VICTORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,2013,48,08B,1167059,1938549,41.9869414,-87.66091752,"(41.986941404, -87.660917523)"
JE491107,12/25/2021 5:25:00 PM,001XX W KINZIE ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,APARTMENT,N,N,1831,42,11,1174890,1902984,41.88917757,-87.63318359,"(41.889177567, -87.633183586)"
JE488567,12/25/2021 12:45:00 PM,021XX N KEELER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2522,35,08B,1148034,1913838,41.91952102,-87.73153036,"(41.919521021, -87.731530358)"
JE488785,12/25/2021 6:58:00 PM,121XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,Y,523,34,14,1176471,1824402,41.67350475,-87.62973889,"(41.673504751, -87.629738893)"
JE422053,10/25/2021 2:00:00 PM,011XX S WABASH AVE,560,ASSAULT,SIMPLE,GOVERNMENT BUILDING / PROPERTY,N,N,123,4,08A,1176946,1895538,41.86869904,-87.62585862,"(41.868699038, -87.625858624)"
JF168935,03/09/2022 7:40:00 PM,006XX W BUCKINGHAM PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,1925,44,26,,,,,
JE488546,12/25/2021 3:00:00 AM,008XX S LOOMIS ST,820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,1231,28,6,1167181,1896263,41.87090374,-87.66168712,"(41.870903744, -87.661687117)"
JE488907,12/25/2021 11:15:00 PM,047XX S HERMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,931,15,14,1165478,1873246,41.80777919,-87.66859341,"(41.807779187, -87.668593412)"
JE488477,12/25/2021 2:00:00 AM,027XX S SAWYER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1032,22,14,1155141,1885578,41.84183291,-87.70617685,"(41.841832911, -87.706176852)"
JE488738,12/25/2021 5:25:00 PM,078XX S HERMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,611,17,14,1166041,1852757,41.75154278,-87.66711069,"(41.751542782, -87.667110692)"
JE488698,12/25/2021 4:20:00 PM,036XX W DOUGLAS BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1011,24,14,1152126,1893208,41.86283043,-87.71704008,"(41.862830429, -87.717040084)"
JE489320,12/25/2021 1:00:00 PM,004XX E BOWEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE - COMMERCIAL,N,N,214,3,14,1179822,1877577,41.81934732,-87.61585117,"(41.819347317, -87.615851173)"
JE488747,12/25/2021 5:11:00 PM,054XX S HARPER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,234,5,08A,1187207,1869270,41.79637993,-87.58902438,"(41.796379929, -87.589024383)"
JE490956,12/25/2021 3:00:00 PM,013XX N WESTERN AVE,810,THEFT,OVER $500,OTHER (SPECIFY),N,N,1423,26,6,1160167,1908791,41.90542938,-87.68709159,"(41.90542938, -87.687091592)"
JE488880,12/25/2021 7:15:00 PM,106XX S OGLESBY AVE,460,BATTERY,SIMPLE,STREET,N,N,434,7,08B,1194032,1834871,41.7018214,-87.56512328,"(41.701821396, -87.565123275)"
JE488846,12/25/2021 8:00:00 PM,013XX N HUDSON AVE,560,ASSAULT,SIMPLE,APARTMENT,N,N,1821,27,08A,1173068,1909520,41.90715332,-87.63968057,"(41.907153315, -87.639680572)"
JE488865,12/25/2021 9:22:00 PM,016XX N PULASKI RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2535,26,15,1149466,1910591,41.91058325,-87.72635338,"(41.91058325, -87.726353375)"
JE492682,12/24/2021 3:18:00 PM,019XX W ERIE ST,810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,1221,1,6,1163366,1904358,41.89319816,-87.67546548,"(41.89319816, -87.675465482)"
JE492621,12/07/2021 7:00:00 PM,014XX E 49TH ST,820,THEFT,$500 AND UNDER,STREET,N,N,222,4,6,1186608,1872793,41.80606151,-87.59110938,"(41.806061509, -87.591109375)"
JE491635,12/25/2021 7:00:00 AM,032XX W WASHINGTON BLVD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1123,28,11,1154712,1900497,41.88278088,-87.70735197,"(41.882780879, -87.707351971)"
JE488914,12/25/2021 10:07:00 PM,050XX W WAVELAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1634,30,08B,1142082,1924131,41.94787857,-87.75314318,"(41.947878567, -87.753143175)"
JE488874,12/25/2021 8:13:00 PM,047XX W FULTON ST,460,BATTERY,SIMPLE,STREET,N,N,1113,28,08B,1144694,1901370,41.88537112,-87.74411676,"(41.885371124, -87.744116759)"
JE488749,12/25/2021 3:00:00 PM,013XX E HYDE PARK BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,222,4,7,1186235,1871461,41.80241524,-87.59251949,"(41.802415236, -87.592519489)"
JE488241,12/25/2021 12:09:00 AM,029XX N NARRAGANSETT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2511,36,08B,1133238,1918872,41.93360696,-87.78577571,"(41.933606964, -87.785775706)"
JE488911,12/25/2021 10:30:00 PM,049XX S INDIANA AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,N,224,3,26,1178437,1872232,41.8047118,-87.62109436,"(41.8047118, -87.621094357)"
JE492944,12/05/2021 2:00:00 AM,091XX S EMERALD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,Y,2223,21,7,1172910,1844351,41.72832689,-87.6421865,"(41.728326886, -87.642186496)"
JE488692,12/25/2021 2:00:00 AM,034XX N HOYNE AVE,820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,1921,32,6,1161747,1922797,41.94382996,-87.68089627,"(41.943829963, -87.68089627)"
JE488701,12/25/2021 3:00:00 PM,008XX E 79TH ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,N,N,624,8,26,1183364,1852811,41.75130534,-87.60362891,"(41.751305337, -87.603628907)"
